rt,subj_idx,highDimCoh,irrDimCoh,lowDimCoh,errorLev,errorDim,response
2.482536752,1,1,-1,-1,0,0,3
0.833264462,1,1,-1,1,0,0,3
0.783009838,1,1,1,1,0,0,3
0.933114172,1,1,1,1,0,0,3
1.049825396,1,-1,-1,-1,2,3,2
3.282364639,1,-1,1,1,0,0,3
1.266495298,1,1,1,1,0,0,3
1.466413255,1,1,1,-1,0,0,3
0.949998928,1,1,-1,1,0,0,3
1.483019709,1,1,-1,1,1,1,1
2.482687374,1,-1,-1,-1,0,0,3
1.266560799,1,-1,1,1,0,0,3
0.999755805,1,-1,-1,1,0,0,3
1.149873722,1,-1,-1,1,0,0,3
0.949894187,1,-1,-1,-1,0,0,3
1.249696266,1,1,-1,-1,2,3,2
0.99963567,1,1,-1,-1,0,0,3
1.049864033,1,-1,-1,1,0,0,3
0.899520636,1,-1,-1,1,0,0,3
1.099708144,1,1,-1,1,0,0,3
1.333090145,1,-1,-1,-1,2,3,2
0.749882657,1,-1,1,-1,0,0,3
1.449667047,1,1,1,-1,2,3,2
1.999455165,1,-1,-1,-1,2,3,2
1.233018878,1,1,-1,-1,0,0,3
1.099733499,1,-1,-1,1,2,3,2
1.066451469,1,-1,1,-1,0,0,3
1.732913081,1,-1,-1,1,0,0,3
0.94960049,1,1,1,-1,0,0,3
1.266377879,1,-1,1,1,2,3,2
1.099736819,1,-1,1,-1,2,3,2
1.149822408,1,-1,-1,1,2,3,2
2.016106291,1,-1,-1,1,0,0,3
1.049845922,1,1,1,-1,0,0,3
1.216352358,1,-1,-1,-1,2,2,2
1.033290481,1,1,1,-1,0,0,3
0.999754598,1,1,-1,1,0,0,3
1.666360794,1,-1,1,1,0,0,3
0.89976151,1,1,-1,-1,0,0,3
1.049743897,1,1,-1,1,0,0,3
0.866516306,1,-1,-1,-1,3,100,0
2.99913581,1,-1,-1,-1,2,2,2
1.782930754,1,1,-1,-1,2,2,2
0.949729982,1,-1,-1,1,0,0,3
1.233076531,1,1,-1,1,0,0,3
1.232995636,1,-1,1,-1,0,0,3
1.249813383,1,-1,1,1,2,2,2
4.348774151,1,-1,1,1,0,0,3
1.716116162,1,-1,1,1,0,0,3
1.749657177,1,-1,-1,-1,0,0,3
1.399668692,1,1,-1,1,0,0,3
1.082933561,1,1,1,-1,0,0,3
1.032946676,1,1,-1,-1,2,3,2
1.899592475,1,1,-1,-1,2,2,2
1.516320453,1,1,1,-1,0,0,3
1.366188349,1,-1,1,1,0,0,3
0.799961907,1,1,1,1,1,1,1
3.798969734,1,-1,-1,-1,0,0,3
3.282545144,1,-1,-1,-1,0,0,3
1.433093797,1,1,1,1,0,0,3
0.833165757,1,1,1,-1,0,0,3
1.516407083,1,1,-1,-1,0,0,3
0.783030666,1,1,-1,1,0,0,3
1.116269923,1,-1,1,-1,0,0,3
2.549256564,1,1,-1,1,0,0,3
1.549464235,1,-1,-1,-1,2,3,2
1.433043087,1,-1,1,-1,0,0,3
