response,rxtime,subj,highDimCoh,irrDimCoh,lowDimCoh
1,1.74958563852124,1,1,2,2
3,1.16631385707296,1,2,2,2
1,0.849902910646051,1,1,2,2
4,1.01654729107395,1,2,1,2
3,2.24952209973708,1,1,1,1
2,1.04972306964919,1,2,2,2
2,1.0831608523149,1,1,1,2
2,0.966505771968514,1,2,1,2
4,1.18307425221428,1,2,2,1
1,0.933065272634849,1,2,2,2
4,1.18302897526883,1,2,1,1
4,1.29980600229464,1,2,2,2
4,1.41631408338435,1,1,1,2
1,1.31637955410406,1,1,1,1
2,1.26629728544503,1,2,2,1
2,0.866730014327914,1,1,2,2
4,1.21623614639975,1,2,2,1
2,0.9830916991923,1,2,1,2
3,2.86620087525807,1,1,1,2
3,2.43276387755759,1,1,2,1
3,2.14950546761975,1,2,2,1
3,2.44939055433497,1,1,2,1
3,2.73253848799504,1,1,1,1
3,1.94933516555466,1,2,1,1
3,3.1324100214988,1,2,2,2
3,1.6660918481648,1,1,2,2
3,1.39987575937994,1,1,1,1
2,1.31615015002899,1,1,2,2
1,2.76578852115199,1,1,1,1
4,3.14923471049406,1,1,2,2
3,2.21595210768282,1,2,2,2
1,1.43285020580515,1,2,2,2
3,1.54962994996458,1,1,1,1
1,1.43328818702139,1,1,1,2
3,1.81613430287689,1,2,2,1
2,0.950078012654558,1,1,1,2
1,1.31627330370247,1,2,1,1
2,1.14982965216041,1,2,2,1
3,1.88292203051969,1,2,1,1
3,1.1497206853237,1,1,2,2
2,1.59967388375662,1,1,2,1
3,1.26633350737393,1,1,1,2
4,3.34630684810691,1,1,2,2
2,1.53304734267294,1,1,2,2
1,3.69874271377921,1,2,2,1
2,1.71624595648609,1,2,2,2
4,2.54943888005801,1,1,2,1
4,1.39958749501966,1,1,2,1
1,1.19976371363737,1,1,1,2
1,1.29978789156303,1,2,2,2
3,1.4662424097769,1,1,1,1
2,2.71590969804674,1,2,2,2
2,3.315799101023,1,1,1,2
3,1.3494527048897,1,2,1,1
2,2.18269090587273,1,1,2,1
4,2.56591765163466,1,2,2,2
2,1.99986265925691,1,2,2,2
1,1.16625469480641,1,2,1,1
3,1.18293540249579,1,2,1,2
1,0.749978040577844,1,2,1,2
3,0.883043976966292,1,2,1,2
4,2.48253675224259,1,2,1,1
1,0.8332644617185,1,2,1,2
2,0.783009838080034,1,2,2,2
1,0.933114171726629,1,2,2,2
3,1.04982539615594,1,1,1,1
3,3.2823646387551,1,1,2,2
1,1.26649529766291,1,2,2,2
1,1.46641325531527,1,2,2,1
3,0.949998928466812,1,2,1,2
1,1.48301970865577,1,2,1,2
1,2.48268737411126,1,1,1,1
1,1.26656079851091,1,1,2,2
3,0.99975580512546,1,1,1,2
2,1.14987372187898,1,1,1,2
3,0.949894187273458,1,1,1,1
3,1.24969626567326,1,2,1,1
3,0.999635669868439,1,2,1,1
3,1.04986403253861,1,1,1,2
1,0.899520635604858,1,1,1,2
2,1.09970814362168,1,2,1,2
3,1.33309014467523,1,1,1,1
1,0.749882656848058,1,1,2,1
3,1.44966704701073,1,2,2,1
3,1.99945516488515,1,1,1,1
2,1.2330188783817,1,2,1,1
3,1.09973349864595,1,1,1,2
1,1.06645146920346,1,1,2,1
4,1.73291308083571,1,1,1,2
3,0.949600489577278,1,2,2,1
3,1.26637787884101,1,1,2,2
3,1.09973681904376,1,1,2,1
3,1.14982240786776,1,1,1,2
4,2.01610629144125,1,1,1,2
3,1.04984592180699,1,2,2,1
1,1.21635235776193,1,1,1,1
1,1.03329048096202,1,2,2,1
3,0.999754597898573,1,2,1,2
2,1.66636079433374,1,1,2,2
3,0.899761510081589,1,2,1,1
4,1.04974389728159,1,2,1,2
3,0.866516306065023,1,1,1,1
1,2.99913581018336,1,1,1,1
1,1.78293075389229,1,2,1,1
3,0.949729982065037,1,1,1,2
4,1.23307653120719,1,2,1,2
2,1.23299563629553,1,1,2,1
1,1.24981338251382,1,1,2,2
2,4.34877415117808,1,1,2,2
1,1.71611616178416,1,1,2,2
3,1.74965717666782,1,1,1,1
1,1.39966869191267,1,2,1,2
3,1.08293356117792,1,2,2,1
3,1.03294667648152,1,2,1,1
1,1.89959247549996,1,2,1,1
2,1.51632045255974,1,2,2,1
3,1.36618834873661,1,1,2,2
